date,fng_value,fng_class,open,high,low,close,volume,close_t+1,close_change,close_t+1_change,sma_3d,sma_7d,sma_14d,ema_5d,ema_10d,ema_21d,std_14d,upper_band,lower_band,rsi,close_dir,high_dir,low_dir,volume_dir,target,fng_change,year,month,day,day_of_week
2024-06-06,78,Extreme Greed,71082.84375,71625.734375,70119.125,70757.1640625,25223152007,69342.5859375,-325.65625,-1414.578125,70802.58333333333,69166.06919642857,68864.74888392857,70039.90102370386,69325.90863759992,68236.11838019152,1201.7800949457642,71268.3090738201,66461.18869403703,74.9671397027407,0,0,0,0,0,3.0,2024,6,6,3
2024-06-07,77,Extreme Greed,70759.1875,71907.8515625,68507.2578125,69342.5859375,36188381096,69305.7734375,-1414.578125,-36.8125,70394.19010416667,69430.52232142857,68923.06919642857,69807.46266163592,69328.94087394538,68336.70633994683,1203.8914074928205,71330.8520114142,66515.28638144293,67.36024617188072,0,1,0,1,0,-1.0,2024,6,7,4
2024-06-08,72,Greed,69324.1796875,69533.3203125,69210.7421875,69305.7734375,14262185861,69647.9921875,-36.8125,342.21875,69801.84114583333,69658.92745535714,68925.9140625,69640.23292025729,69324.72861277348,68424.8033488153,1204.810676890322,71335.53541628065,66516.29270871935,65.51385361785998,0,0,1,0,1,-5.0,2024,6,8,5
2024-06-09,75,Greed,69297.4921875,69817.5234375,69160.84375,69647.9921875,13534028500,69512.28125,342.21875,-135.7109375,69432.1171875,69929.84040178571,69006.62109375,69642.81934267153,69383.5038081783,68536.00233415027,1213.2056276894934,71433.03234912899,66580.20983837101,67.39653299162057,1,1,0,0,0,3.0,2024,6,9,6
2024-06-10,72,Greed,69644.3125,70146.0703125,69232.421875,69512.28125,20597699541,67332.03125,-135.7109375,-2180.25,69488.68229166667,70030.91183035714,69015.03013392857,69599.30664511435,69406.91788850952,68624.75496286388,1216.504841711942,71448.03981735244,66582.02045050469,57.80385573897068,0,1,1,1,0,-3.0,2024,6,10,0
2024-06-11,74,Greed,69508.078125,69549.4140625,66123.6015625,67332.03125,37116136345,68241.1875,-2180.25,909.15625,68830.76822916667,69568.6640625,68946.15959821429,68843.54818007624,69029.66577241688,68507.2346253308,1285.6570818306654,71517.47376187562,66374.84543455296,17.31767134443119,0,0,0,1,1,2.0,2024,6,11,1
2024-06-12,72,Greed,67321.375,69977.890625,66902.453125,68241.1875,34497940694,66756.3984375,909.15625,-1484.7890625,68361.83333333333,69162.71651785714,68993.5234375,68642.76128671749,68886.30608652289,68483.048523028,1242.8830796301281,71479.28959676025,66507.75727823975,23.414771057813326,1,1,1,0,0,-2.0,2024,6,12,2
2024-06-13,70,Greed,68243.1015625,68365.78125,66304.5625,66756.3984375,28955204146,66011.09375,-1484.7890625,-745.3046875,67443.20572916667,68591.17857142857,68878.62388392857,68013.97367031167,68499.0501503369,68326.08033343454,1373.000884498772,71624.62565292612,66132.62211493101,19.241516006967373,0,0,0,0,0,-2.0,2024,6,13,3
2024-06-14,74,Greed,66747.5703125,67294.6484375,65056.89453125,66011.09375,27403884779,66191.0,-745.3046875,179.90625,67002.89322916667,68115.25111607143,68772.88671875,67346.34703020778,68046.69444118474,68115.62700766776,1535.441847752079,71843.77041425416,65702.00302324584,21.448801057335274,0,0,0,0,1,4.0,2024,6,14,4
2024-06-15,74,Greed,66006.7421875,66402.1875,65871.7734375,66191.0,14121265576,66639.046875,179.90625,448.046875,66319.49739583333,67670.28348214286,68664.60546875,66961.23135347186,67709.29545187842,67940.66091606159,1664.4311887213898,71993.46784619278,65335.74309130722,23.945136511745545,1,0,1,0,1,0.0,2024,6,15,5
2024-06-16,71,Greed,66189.359375,66894.84375,66018.25,66639.046875,13281140541,66490.296875,448.046875,-148.75,66280.38020833333,67240.43415178571,68585.13727678571,66853.83652731458,67514.7048015369,67822.33236687418,1736.3800572158602,72057.89739121743,65112.37716235399,25.26825446769709,1,1,1,0,0,-3.0,2024,6,16,6
2024-06-17,71,Greed,66636.515625,67188.3203125,65094.96484375,66490.296875,30006354476,65140.74609375,-148.75,-1349.55078125,66440.11458333333,66808.72209821429,68419.81696428571,66732.65664320972,67328.44881489381,67701.23823124926,1821.9323151764293,72063.68159463856,64775.95233393285,25.214208639086323,0,1,0,1,0,0.0,2024,6,17,0
2024-06-18,74,Greed,66490.9765625,66556.703125,64066.95703125,65140.74609375,39481285950,64960.296875,-1349.55078125,-180.44921875,66090.02994791667,66495.68136160714,68032.17271205357,66202.01979338982,66930.68468377675,67468.46621874932,1905.2065321313148,71842.58577631619,64221.75964779094,29.19206598964813,0,0,0,1,0,3.0,2024,6,18,1
2024-06-19,64,Greed,65146.66015625,65695.3515625,64693.30078125,64960.296875,21103423504,64828.65625,-180.44921875,-131.640625,65530.446614583336,66026.98270089286,67594.849609375,65788.11215392654,66572.43235490825,67240.45082386302,1853.0640845998666,71300.97777857473,63888.721440175264,13.841332162352984,0,0,1,0,0,-10.0,2024,6,19,2
2024-06-20,60,Greed,64960.296875,66438.9609375,64547.84765625,64828.65625,25641109124,64096.19921875,-131.640625,-732.45703125,64976.56640625,65751.59095982143,67171.384765625,65468.29351928437,66255.38215401584,67021.19677169365,1749.3093777426423,70670.00352111028,63672.76601013971,19.724323753947786,0,1,0,1,0,-4.0,2024,6,20,3
2024-06-21,63,Greed,64837.98828125,65007.546875,63378.89453125,64096.19921875,26188171739,64252.578125,-732.45703125,156.37890625,64628.384114583336,65478.03459821428,66796.64285714286,65010.92875243959,65862.80343851296,66755.28790324423,1809.3282547589395,70415.29936666074,63177.986347624974,19.804244048169025,0,0,0,1,1,3.0,2024,6,21,4
2024-06-22,53,Neutral,64113.86328125,64475.46875,63929.7578125,64252.578125,9858198793,63180.796875,156.37890625,-1071.78125,64392.477864583336,65201.1171875,66435.70033482143,64758.14520995973,65570.03519969241,66527.76883249475,1773.9636100090302,69983.62755483949,62887.77311480338,19.204743192892664,1,0,1,0,0,-10.0,2024,6,22,5
2024-06-23,55,Greed,64248.96484375,64491.703125,63180.796875,63180.796875,11170471802,60277.4140625,-1071.78125,-2903.3828125,63843.19140625,64707.08147321428,65973.7578125,64232.36243163983,65135.628231566516,66223.49865454069,1714.1585654201726,69402.07494334034,62545.44068165965,4.146873038333169,0,1,0,1,0,2.0,2024,6,23,6
2024-06-24,51,Neutral,63173.3515625,63292.52734375,58601.69921875,60277.4140625,43152133651,61804.640625,-2903.3828125,1527.2265625,62570.263020833336,63819.52678571428,65314.12444196428,62914.04630859322,64252.31656446351,65682.94550980971,2000.6532023188358,69315.43084660196,61312.81803732661,2.396376313628224,0,0,0,1,1,-4.0,2024,6,24,0
2024-06-25,30,Fear,60266.28125,62258.26171875,60239.75,61804.640625,29201215431,60811.27734375,1527.2265625,-993.36328125,61754.283854166664,63342.94029017857,64919.310825892855,62544.24441406215,63807.28457547014,65330.37233846337,2113.9866050600785,69147.284036013,60691.337615772696,25.116007759685175,1,0,1,0,0,-21.0,2024,6,25,1
2024-06-26,46,Fear,61789.67578125,62434.13671875,60695.1875,60811.27734375,22506003064,61604.80078125,-993.36328125,793.5234375,60964.444010416664,62750.22321428572,64388.60295758928,61966.588723958106,63262.555987884654,64919.545520762156,2148.2403252353583,68685.08360806,60092.12230711857,22.399598784921167,0,1,1,0,1,16.0,2024,6,26,2
2024-06-27,40,Fear,60811.2265625,62293.86328125,60585.33203125,61604.80078125,21231745045,60320.13671875,793.5234375,-1284.6640625,61406.90625,62289.67243303572,64020.63169642857,61845.99274305541,62961.14595031471,64618.20508989741,2152.6662121178388,68325.96412066426,59715.2992721929,30.289735799201083,1,0,0,0,0,-6.0,2024,6,27,3
2024-06-28,47,Neutral,61612.8046875,62126.09765625,59985.40234375,60320.13671875,24952866877,60887.37890625,-1284.6640625,567.2421875,60912.071614583336,61750.23493303572,63614.134765625,61337.37406828694,62480.96245366658,64227.47160161129,2281.362632572884,68176.86003077077,59051.40950047923,28.373860495167264,0,0,0,1,1,7.0,2024,6,28,4
2024-06-29,30,Fear,60319.875,61097.62109375,60300.96484375,60887.37890625,12652903396,62678.29296875,567.2421875,1790.9140625,60937.438802083336,61269.4921875,63235.3046875,61187.375680941295,62191.21999049993,63923.826811123894,2260.799601300289,67756.90389010058,58713.70548489942,31.59319750972483,1,0,1,0,1,-17.0,2024,6,29,5
2024-06-30,47,Neutral,60888.4453125,62892.828125,60632.94921875,62678.29296875,17333226409,62851.98046875,1790.9140625,173.6875,61295.26953125,61197.70591517857,62952.39369419643,61684.34811021086,62279.77871381812,63810.59646181718,2039.043011545522,67030.47971728747,58874.30767110539,47.45188751787171,1,1,1,1,1,17.0,2024,6,30,6
2024-07-01,53,Neutral,62673.60546875,63777.2265625,62495.51171875,62851.98046875,25468379421,62029.015625,173.6875,-822.96484375,62139.217447916664,61565.50111607143,62692.513950892855,62073.55889639058,62383.815396533006,63723.44955335652,1767.1762004246732,66226.8663517422,59158.16155004351,68.05289029104779,1,1,1,1,0,6.0,2024,7,1,0
2024-07-02,51,Neutral,62844.41015625,63203.359375,61752.74609375,62029.015625,20151616992,60173.921875,-822.96484375,-1855.09375,62519.763020833336,61597.5546875,62470.24748883928,62058.71113926039,62319.306347163365,63569.4101053241,1625.57938746838,65721.40626377604,59219.08871390252,51.745739593033576,0,0,0,0,0,-2.0,2024,7,2,1
2024-07-03,50,Neutral,62034.33203125,62187.703125,59419.38671875,60173.921875,29756701685,56977.703125,-1855.09375,-3196.21875,61684.97265625,61506.50390625,62128.363560267855,61430.448051173604,61929.236443133654,63260.729357112825,1563.7476969213021,65255.85895411046,59000.86816642525,45.627417592165294,0,0,0,1,0,-1.0,2024,7,3,2
2024-07-04,44,Fear,60147.13671875,60399.67578125,56777.8046875,56977.703125,41149609230,56662.375,-3196.21875,-315.328125,59726.880208333336,60845.489955357145,61567.58119419643,59946.19974244907,61028.95765801844,62689.545154193474,1893.796256911735,65355.173708019895,57779.98868037296,26.12630152436209,0,0,0,1,0,-6.0,2024,7,4,3
2024-07-05,29,Fear,57022.80859375,57497.15234375,53717.375,56662.375,55417544033,58303.5390625,-315.328125,1641.1640625,57938.0,60322.95256696428,61036.59375,58851.59149496605,60235.03353837872,62141.62059472134,2154.492743904366,65345.579237808735,56727.608262191265,29.030080741132565,0,0,0,1,1,-15.0,2024,7,5,4
